ano,mes,sigla_uf,ddd,tecnologia,sinal,acessos
2009,3,BA,74,Dados > 256kbps,3G,1875
2009,3,BA,74,Dados até 256kbps,2G,990
2009,3,BA,74,GSM,2G,511829
2009,3,BA,74,TDMA,2G,1425
2009,3,BA,74,WCDMA,3G,1148
2009,3,BA,75,CDMA IS 95,2G,158681
2009,3,BA,75,CDMA2000,2G,1616
2009,3,BA,75,Dados > 256kbps,3G,9436
2009,3,BA,75,Dados até 256kbps,2G,5291
2009,3,BA,75,GSM,2G,1749227
2009,3,BA,75,TDMA,2G,4634
2009,3,BA,75,WCDMA,3G,4911
2009,3,BA,77,CDMA IS 95,2G,100030
2009,3,BA,77,CDMA2000,2G,1359
2009,3,BA,77,Dados > 256kbps,3G,6555
2009,3,BA,77,Dados até 256kbps,2G,3012
2009,3,BA,77,GSM,2G,769863
2009,3,BA,77,TDMA,2G,1664
2009,3,BA,77,WCDMA,3G,3083
2009,3,CE,85,AMPS,1G,83
2009,3,CE,85,Dados > 256kbps,3G,39765
2009,3,CE,85,Dados até 256kbps,2G,34772
2009,3,CE,85,GSM,2G,3741125
2009,3,CE,85,TDMA,2G,31773
2009,3,CE,85,WCDMA,3G,10135
2009,3,CE,88,AMPS,1G,83
2009,3,CE,88,Dados > 256kbps,3G,3698
2009,3,CE,88,Dados até 256kbps,2G,3257
2009,3,CE,88,GSM,2G,1611213
2009,3,CE,88,TDMA,2G,28264
2009,3,CE,88,WCDMA,3G,677
2009,3,DF,61,CDMA IS 95,2G,245421
2009,3,DF,61,CDMA2000,2G,8832
2009,3,DF,61,Dados > 256kbps,3G,75171
2009,3,DF,61,Dados até 256kbps,2G,35546
2009,3,DF,61,GSM,2G,3477038
2009,3,DF,61,WCDMA,3G,71105
2009,3,ES,27,CDMA IS 95,2G,401275
2009,3,ES,27,CDMA2000,2G,5425
2009,3,ES,27,Dados > 256kbps,3G,24179
2009,3,ES,27,Dados até 256kbps,2G,13314
2009,3,ES,27,GSM,2G,2106742
2009,3,ES,27,WCDMA,3G,22789
2009,3,ES,28,CDMA IS 95,2G,100922
2009,3,ES,28,CDMA2000,2G,807
2009,3,ES,28,Dados > 256kbps,3G,2241
2009,3,ES,28,Dados até 256kbps,2G,862
2009,3,ES,28,GSM,2G,334685
2009,3,ES,28,WCDMA,3G,3907
2009,3,GO,62,CDMA IS 95,2G,299600
2009,3,GO,62,CDMA2000,2G,4574
2009,3,GO,62,Dados > 256kbps,3G,30578
2009,3,GO,62,Dados até 256kbps,2G,25741
2009,3,GO,62,GSM,2G,3190978
2009,3,GO,62,WCDMA,3G,37184
2009,3,GO,64,AMPS,1G,12
2009,3,GO,64,CDMA IS 95,2G,105866
2009,3,GO,64,CDMA2000,2G,1349
2009,3,GO,64,Dados > 256kbps,3G,6930
2009,3,GO,64,Dados até 256kbps,2G,3593
2009,3,GO,64,GSM,2G,1056797
2009,3,GO,64,TDMA,2G,984
2009,3,GO,64,WCDMA,3G,6652
2009,3,MA,98,CDMA IS 95,2G,47820
2009,3,MA,98,CDMA2000,2G,568
2009,3,MA,98,Dados > 256kbps,3G,7254
2009,3,MA,98,Dados até 256kbps,2G,13522
2009,3,MA,98,GSM,2G,1546583
2009,3,MA,98,WCDMA,3G,6619
2009,3,MA,99,CDMA IS 95,2G,36763
2009,3,MA,99,CDMA2000,2G,515
2009,3,MA,99,Dados > 256kbps,3G,1580
2009,3,MA,99,Dados até 256kbps,2G,688
2009,3,MA,99,GSM,2G,680297
2009,3,MA,99,WCDMA,3G,2064
2009,3,MG,31,Dados > 256kbps,3G,52643
2009,3,MG,31,Dados até 256kbps,2G,191762
2009,3,MG,31,GSM,2G,6612708
2009,3,MG,31,TDMA,2G,174966
